timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1757976306843,47,HTTP Request-1,200,OK,Saucedemo_QA 1-3,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306797,95,HTTP Request,200,OK,Saucedemo_QA 1-14,text,true,,3980,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306797,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-14,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306844,48,HTTP Request-1,200,OK,Saucedemo_QA 1-14,text,true,,3322,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306803,93,HTTP Request,200,OK,Saucedemo_QA 1-25,text,true,,3979,234,50,50,https://www.saucedemo.com/,46,0,0
1757976306803,46,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-25,text,true,,658,115,50,50,http://saucedemo.com/,46,0,0
1757976306849,47,HTTP Request-1,200,OK,Saucedemo_QA 1-25,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306802,95,HTTP Request,200,OK,Saucedemo_QA 1-1,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306802,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-1,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306849,48,HTTP Request-1,200,OK,Saucedemo_QA 1-1,text,true,,3321,119,50,50,https://www.saucedemo.com/,46,0,0
1757976306810,94,HTTP Request,200,OK,Saucedemo_QA 1-24,text,true,,3979,234,50,50,https://www.saucedemo.com/,46,0,0
1757976306810,46,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-24,text,true,,658,115,50,50,http://saucedemo.com/,46,0,0
1757976306857,47,HTTP Request-1,200,OK,Saucedemo_QA 1-24,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306815,97,HTTP Request,200,OK,Saucedemo_QA 1-7,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306815,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-7,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306862,50,HTTP Request-1,200,OK,Saucedemo_QA 1-7,text,true,,3321,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306828,94,HTTP Request,200,OK,Saucedemo_QA 1-20,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306828,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-20,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306875,47,HTTP Request-1,200,OK,Saucedemo_QA 1-20,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306826,97,HTTP Request,200,OK,Saucedemo_QA 1-13,text,true,,3981,234,50,50,https://www.saucedemo.com/,49,0,0
1757976306826,49,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-13,text,true,,659,115,50,50,http://saucedemo.com/,49,0,0
1757976306875,48,HTTP Request-1,200,OK,Saucedemo_QA 1-13,text,true,,3322,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306826,99,HTTP Request,200,OK,Saucedemo_QA 1-9,text,true,,3980,234,50,50,https://www.saucedemo.com/,50,0,0
1757976306826,50,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-9,text,true,,658,115,50,50,http://saucedemo.com/,50,0,0
1757976306876,49,HTTP Request-1,200,OK,Saucedemo_QA 1-9,text,true,,3322,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306830,95,HTTP Request,200,OK,Saucedemo_QA 1-8,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306830,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-8,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306877,48,HTTP Request-1,200,OK,Saucedemo_QA 1-8,text,true,,3321,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306827,100,HTTP Request,200,OK,Saucedemo_QA 1-22,text,true,,3979,234,50,50,https://www.saucedemo.com/,50,0,0
1757976306827,50,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-22,text,true,,658,115,50,50,http://saucedemo.com/,50,0,0
